!! Limits to each multipole term
-1e-15	1e-15
-2.000000000e+03	2.000000000e+03
-4.444444444e+02	4.444444444e+02
-4.444444444e+02	4.444444444e+02
-9.876543210e+01	9.876543210e+01
-1e20	1e20
-2.194787380e+01	2.194787380e+01
-2.194787380e+01	2.194787380e+01
-4.877305289e+00	4.877305289e+00
-4.877305289e+00	4.877305289e+00
-1.083845620e+00	1.083845620e+00
-1.083845620e+00	1.083845620e+00
-2.408545822e-01	2.408545822e-01
-2.408545822e-01	2.408545822e-01
-5.352324048e-02	5.352324048e-02
-5.352324048e-02	5.352324048e-02
-1.189405344e-02	1.189405344e-02
-1.189405344e-02	1.189405344e-02
-2.643122987e-03	2.643122987e-03
-2.643122987e-03	2.643122987e-03
-5.873606637e-04	5.873606637e-04
-5.873606637e-04	5.873606637e-04
-1.305245919e-04	1.305245919e-04
-1.305245919e-04	1.305245919e-04
-2.900546487e-05	2.900546487e-05
-2.900546487e-05	2.900546487e-05
-6.445658861e-06	6.445658861e-06
-6.445658861e-06	6.445658861e-06
-1.432368636e-06	1.432368636e-06
-1.432368636e-06	1.432368636e-06
-3.183041413e-07	3.183041413e-07
-3.183041413e-07	3.183041413e-07
-7.073425362e-08	7.073425362e-08
-7.073425362e-08	7.073425362e-08
-1.571872303e-08	1.571872303e-08
-1.571872303e-08	1.571872303e-08
-3.493049561e-09	3.493049561e-09
-3.493049561e-09	3.493049561e-09
-7.762332359e-10	7.762332359e-10
-7.762332359e-10	7.762332359e-10
-1.724962746e-10	1.724962746e-10
-1.724962746e-10	1.724962746e-10
-3.833250548e-11	3.833250548e-11
-3.833250548e-11	3.833250548e-11
-8.518334550e-12	8.518334550e-12
-8.518334550e-12	8.518334550e-12
-1.892963233e-12	1.892963233e-12
-1.892963233e-12	1.892963233e-12
-4.206584963e-13	4.206584963e-13
-4.206584963e-13	4.206584963e-13
-9.347966584e-14	9.347966584e-14
-9.347966584e-14	9.347966584e-14
-2.077325908e-14	2.077325908e-14
-2.077325908e-14	2.077325908e-14
-4.616279795e-15	4.616279795e-15
-4.616279795e-15	4.616279795e-15
-1.025839954e-15	1.025839954e-15
-1.025839954e-15	1.025839954e-15
-2.279644343e-16	2.279644343e-16
-2.279644343e-16	2.279644343e-16
-5.065876318e-17	5.065876318e-17
-5.065876318e-17	5.065876318e-17
-1.125750293e-17	1.125750293e-17
-1.125750293e-17	1.125750293e-17
-2.501667318e-18	2.501667318e-18
-2.501667318e-18	2.501667318e-18
-5.559260706e-19	5.559260706e-19
-5.559260706e-19	5.559260706e-19
-1.235391268e-19	1.235391268e-19
-1.235391268e-19	1.235391268e-19
-2.745313929e-20	2.745313929e-20
-2.745313929e-20	2.745313929e-20
-6.100697619e-21	6.100697619e-21
-6.100697619e-21	6.100697619e-21
-1.355710582e-21	1.355710582e-21
-1.355710582e-21	1.355710582e-21
-3.012690182e-22	3.012690182e-22
-3.012690182e-22	3.012690182e-22
-6.694867072e-23	6.694867072e-23
-6.694867072e-23	6.694867072e-23
-1.487748238e-23	1.487748238e-23
-1.487748238e-23	1.487748238e-23
-3.306107196e-24	3.306107196e-24
-3.306107196e-24	3.306107196e-24
-7.346904880e-25	7.346904880e-25
-7.346904880e-25	7.346904880e-25
-1.632645529e-25	1.632645529e-25
-1.632645529e-25	1.632645529e-25
-3.628101175e-26	3.628101175e-26
-3.628101175e-26	3.628101175e-26
-8.062447056e-27	8.062447056e-27
-8.062447056e-27	8.062447056e-27
-1.791654901e-27	1.791654901e-27
-1.791654901e-27	1.791654901e-27
-3.981455336e-28	3.981455336e-28
-3.981455336e-28	3.981455336e-28
-8.847678526e-29	8.847678526e-29
-8.847678526e-29	8.847678526e-29
-1.966150783e-29	1.966150783e-29
-1.966150783e-29	1.966150783e-29
